sentence_id,정답,입력값,Key-hold,Press-Press,오답 여부
0,e,e,0.098,,0
0,x,x,0.086,0.541,0
0,c,c,0.073,0.303,0
0,e,e,0.123,0.278,0
0,p,p,0.136,0.163,0
0,t,t,0.125,0.303,0
0,i,i,0.15,0.076,0
0,o,o,0.138,0.126,0
0,n,n,0.123,0.138,0
0,a,a,0.151,0.265,0
0,l,l,0.137,0.087,0
0,space,space,0.124,0.353,0
0,c,c,0.099,0.743,0
0,i,i,0.111,0.139,0
0,r,r,0.112,0.29,0
0,c,c,0.127,0.34,0
0,u,u,0.112,0.101,0
0,m,m,0.099,0.428,0
0,s,s,0.124,0.277,0
0,t,t,0.111,0.19,0
0,a,a,0.163,0.125,0
0,n,n,0.087,0.189,0
0,c,c,0.136,0.429,0
0,e,e,0.151,0.291,0
0,s,s,0.174,0.112,0
0,space,space,0.11,0.253,0
0,r,r,0.137,0.402,0
0,e,e,0.135,0.745,0
0,q,q,0.151,0.327,0
0,u,u,0.111,0.138,0
0,i,i,0.111,0.403,0
0,r,r,0.124,0.202,0
0,e,e,0.136,0.542,0
0,space,space,0.111,0.176,0
0,i,i,0.098,0.278,0
0,m,m,0.085,0.29,0
0,m,m,0.125,0.15,0
0,e,e,0.11,0.959,0
0,d,d,0.151,0.276,0
0,i,i,0.098,0.101,0
0,a,a,0.163,0.113,0
0,t,t,0.11,0.228,0
0,e,e,0.139,0.364,0
0,space,space,0.135,0.128,0
0,a,a,0.138,0.15,0
0,n,n,0.1,0.102,0
0,d,d,0.139,0.1,0
0,space,space,0.11,0.139,0
0,t,t,0.111,0.378,0
0,h,h,0.086,0.465,0
0,o,o,0.174,0.315,0
0,u,u,0.125,0.214,0
0,g,g,0.098,0.303,0
0,h,h,0.137,0.113,0
0,t,t,0.111,0.568,0
0,f,f,0.127,0.465,0
0,u,u,0.085,0.127,0
0,l,l,0.151,0.29,0
0,space,space,0.111,0.151,0
0,r,r,0.123,0.592,0
0,e,e,0.138,0.138,0
0,s,s,0.124,0.189,0
0,p,p,0.136,0.43,0
0,o,o,0.11,0.327,0
0,n,n,0.086,0.692,0
0,s,s,0.176,0.216,0
0,e,e,0.136,0.15,0
0,s,s,0.124,0.403,0
